id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;target_wartosc_sprzedazy
2707;pomorskie;GDW;10001;51-100 osób;KRS;30.01.1990;27.05.2020;ma stronê www;4500
2709;pomorskie;GDW;907;2-5 osób;CEIDG;01.01.1992;30.09.2020;e-commerce;1605
2719;œl¹skie;KTW;411;1 osoba;CEIDG;07.01.2011;28.08.2020;ma stronê www;540
2720;œl¹skie;KTW;411;6-10 osób;CEIDG;01.12.1989;14.05.2018;ma stronê www;650
2734;œl¹skie;KTW;411;6-10 osób;CEIDG;01.12.1999;27.04.2018;ma stronê www;250
2761;œl¹skie;KTW;755;2-5 osób;CEIDG;01.07.1992;18.01.2018;ma stronê www;500
2767;œl¹skie;KTW;907;2-5 osób;CEIDG;15.01.2005;17.05.2019;ma stronê www;1100
2774;œl¹skie;KTW;755;1 osoba;CEIDG;23.05.2003;16.03.2020;ma stronê www;1600
2778;œl¹skie;KTW;755;101-250 osób;KRS;01.01.1992;21.11.2019;ma stronê www;2850
2779;œl¹skie;KTW;411;2-5 osób;CEIDG;01.12.1997;26.04.2019;ma stronê www;450
2785;œl¹skie;KTW;10001;21-50 osób;CEIDG;01.03.1992;27.03.2018;ma stronê www;14000
2790;œl¹skie;KTW;755;6-10 osób;CEIDG;01.11.1996;30.01.2019;e-commerce;500
2791;œl¹skie;KTW;907;2-5 osób;CEIDG;02.01.1992;10.02.2020;ma stronê www;5050
2799;œl¹skie;KTW;1171;;CEIDG;01.12.1998;11.01.2019;ma stronê www;350
2805;œl¹skie;KTW;1433;6-10 osób;KRS;29.05.1996;14.04.2020;ma stronê www;1850
2807;œl¹skie;KTW;526;6-10 osób;CEIDG;23.05.2003;22.10.2020;ma stronê www;3290
2837;œl¹skie;KTW;848;101-250 osób;KRS;01.01.1998;16.06.2020;ma stronê www;1050
2839;œl¹skie;KTW;98;101-250 osób;KRS;01.12.1993;07.01.2020;ma stronê www;3600
2845;œl¹skie;KTW;98;1 osoba;CEIDG;01.09.1995;02.06.2020;ma stronê www;1350
2846;œl¹skie;KTW;1402;1 osoba;CEIDG;01.01.1992;12.10.2020;nie ma strony www;500
2848;œl¹skie;KTW;755;1 osoba;CEIDG;15.02.1997;23.10.2018;nie ma strony www;300
2857;lubelskie;BPW;1574;1 osoba;CEIDG;20.10.1993;27.03.2018;nie ma strony www;400
2897;œwiêtokrzyskie;KIW;98;2-5 osób;CEIDG;01.12.1986;30.05.2019;ma stronê www;5043
2903;œwiêtokrzyskie;KIW;848;21-50 osób;CEIDG;01.01.1991;21.07.2020;ma stronê www;1325
2906;œwiêtokrzyskie;KIW;437;2-5 osób;CEIDG;01.12.1997;22.03.2019;e-commerce;1224
2911;œwiêtokrzyskie;KIW;907;2-5 osób;CEIDG;07.10.2003;17.01.2020;ma stronê www;500
2924;œwiêtokrzyskie;KIW;5;2-5 osób;CEIDG;01.12.1997;17.04.2018;nie ma strony www;500
2939;œwiêtokrzyskie;KIW;5;2-5 osób;CEIDG;16.01.1992;22.04.2020;nie ma strony www;360
2940;œwiêtokrzyskie;KIW;652;2-5 osób;CEIDG;01.02.1997;18.07.2019;ma stronê www;2808
2947;œwiêtokrzyskie;KIW;526;6-10 osób;CEIDG;16.01.1992;29.10.2018;nie ma strony www;500
2964;œwiêtokrzyskie;KIW;652;2-5 osób;CEIDG;05.12.1996;26.06.2018;e-commerce;500
2995;œl¹skie;CZW;437;6-10 osób;CEIDG;23.05.2003;02.04.2020;nie ma strony www;450
3022;œl¹skie;GLW;652;2-5 osób;CEIDG;10.08.2004;11.05.2020;nie ma strony www;700
3025;œl¹skie;BBW;526;6-10 osób;CEIDG;01.01.1991;08.07.2019;ma stronê www;1560
3042;mazowieckie;LNW;526;6-10 osób;CEIDG;01.01.1986;04.03.2019;ma stronê www;2850
3067;³ódzkie;LDW;10001;2-5 osób;CEIDG;10.12.1990;09.06.2020;ma stronê www;2580
3070;³ódzkie;LDW;1574;6-10 osób;CEIDG;05.08.1997;19.02.2020;ma stronê www;1920
3084;wielkopolskie;KNW;755;6-10 osób;CEIDG;01.12.1993;03.02.2020;ma stronê www;20400
3089;wielkopolskie;KNW;10001;11-20 osób;CEIDG;01.12.1995;31.07.2020;ma stronê www;7270
